frame#,groundtruth,detection,diff
1,1731990568361,1731990568607,246
2,1731990568391,1731990568658,267
3,1731990568423,1731990568680,257
4,1731990568454,1731990568708,254
5,1731990568485,1731990568758,273
6,1731990568515,1731990568778,263
7,1731990568546,1731990568804,258
8,1731990568762,1731990569010,248
9,1731990568791,1731990569061,270
10,1731990568822,1731990569080,258
11,1731990568854,1731990569103,249
12,1731990568885,1731990569157,272
13,1731990568914,1731990569176,262
14,1731990568946,1731990569203,257
15,1731990568976,1731990569260,284
16,1731990569070,1731990569311,241
17,1731990569131,1731990569380,249
18,1731990569162,1731990569402,240
19,1731990569193,1731990569460,267
20,1731990569223,1731990569478,255
21,1731990569254,1731990569500,246
22,1731990569285,1731990569550,265
23,1731990569316,1731990569580,264
24,1731990569346,1731990569609,263
25,1731990569498,1731990569750,252
26,1731990569529,1731990569775,246
27,1731990569560,1731990569804,244
28,1731990569590,1731990569859,269
29,1731990569622,1731990569879,257
30,1731990569652,1731990569904,252
31,1731990569682,1731990569958,276
32,1731990569714,1731990569980,266
33,1731990569897,1731990570148,251
34,1731990569928,1731990570186,258
35,1731990569959,1731990570225,266
36,1731990569990,1731990570247,257
37,1731990570020,1731990570278,258
38,1731990570050,1731990570326,276
39,1731990570082,1731990570347,265
40,1731990570113,1731990570377,264
41,1731990570267,1731990570525,258
42,1731990570298,1731990570554,256
43,1731990570328,1731990570581,253
44,1731990570358,1731990570619,261
45,1731990570390,1731990570655,265
46,1731990570420,1731990570679,259
47,1731990570451,1731990570726,275
48,1731990570482,1731990570755,273
49,1731990570635,1731990570877,242
50,1731990570666,1731990570930,264
51,1731990570697,1731990570950,253
52,1731990570727,1731990570975,248
53,1731990570758,1731990571033,275
54,1731990570789,1731990571052,263
55,1731990570819,1731990571077,258
56,1731990570850,1731990571129,279
57,1731990570880,1731990571149,269
58,1731990571096,1731990571352,256
59,1731990571127,1731990571382,255
60,1731990571158,1731990571419,261
61,1731990571188,1731990571455,267
62,1731990571219,1731990571475,256
63,1731990571249,1731990571528,279
64,1731990571281,1731990571555,274
65,1731990571404,1731990571651,247
66,1731990571434,1731990571675,241
67,1731990571466,1731990571733,267
68,1731990571496,1731990571753,257
69,1731990571527,1731990571772,245
70,1731990571557,1731990571831,274
71,1731990571588,1731990571851,263
72,1731990571619,1731990571875,256
73,1731990571650,1731990571932,282
74,1731990571680,1731990571952,272
75,1731990571711,1731990571992,281
76,1731990571832,1731990572094,262
77,1731990571864,1731990572113,249
78,1731990571894,1731990572149,255
79,1731990571924,1731990572195,271
80,1731990571955,1731990572213,258
81,1731990571985,1731990572255,270
82,1731990572016,1731990572294,278
83,1731990572047,1731990572316,269
84,1731990572078,1731990572350,272
85,1731990572262,1731990572513,251
86,1731990572293,1731990572560,267
87,1731990572324,1731990572585,261
88,1731990572354,1731990572614,260
89,1731990572385,1731990572653,268
90,1731990572415,1731990572690,275
91,1731990572446,1731990572710,264
92,1731990572537,1731990572815,278
93,1731990572660,1731990572913,253
94,1731990572691,1731990572954,263
95,1731990572722,1731990572988,266
96,1731990572752,1731990573016,264
97,1731990572783,1731990573051,268
98,1731990572814,1731990573094,280
99,1731990572845,1731990573114,269
100,1731990572967,1731990573216,249
