Labels,2m-AVG,2m-STDEV,2.5m-AVG,2.5m-STDEV,3.5m-AVG,3.5m-STDEV,2m-SCR,2m-SCR-STDEV,2.5m-SCR,2.5m-SCR-STDEV,3m-SCR,3m-SCR-STDEV
Human,5.37,0.61,5.00,0.17,3.52,0.82,0.4581005587,0.04640642619,0.5084067254,0.01712552602,0.7561114269,0.1424042858
Optimal-Model,18.66,5.33,19.17,2.92,13.29,2.55,0.1318610635,0.02930297361,0.1325263487,0.01749975341,0.2001203732,0.03223973637
MiDaS-Small,24.14,3.02,19.17,2.92,13.29,2.55,0.1018971088,0.0113153534,0.1325263487,0.01749975341,0.2001203732,0.03223973637
DPT-Hybrid,20.95,2.50,21.15,1.30,26.18,5.63,0.1174000191,0.01250117659,0.1201059202,0.006970282331,0.1016120406,0.01799527361
DPT-Large,18.66,5.33,22.66,5.66,33.62,3.48,0.1318610635,0.02930297361,0.1120720085,0.02239178102,0.07912427866,0.00741510875
Optimal-1fps,DNF,DNF,32.23,3.35,27.13,8.07,0,0,0.07881345414,0.007426863822,0.09805367148,0.02247425901
Optimal-3fps,38.40,4.53,31.31,5.83,25.10,3.83,0.06405582752,0.006755262271,0.08111387878,0.01272988,0.1059760956,0.01403590883
Optimal-250ms,33.03,5.44,36.33,6.48,28.57,3.87,0.07448225748,0.01054020458,0.06990697418,0.01058051933,0.09311769236,0.01112053492
Optimal-500ms,DNF,DNF,43.72,7.46,40.29,7.29,0,0,0.05810229664,0.008469066735,0.06602134525,0.01011926891
DJI-Regular,4.92,0.22,4.71,0.20,5.37,0.41,0.3880536367,0.0168098806,0.4522292994,0.01850885976,0.4006708908,0.02825686416
DJI-Nifty,3.54,0.22,3.73,0.12,4.02,0.23,0.5392433653,0.03180021932,0.5704338511,0.01723286671,0.5348258706,0.02857855679
Ctrl-Anafi,2.46,,2.54,,2.66,,,,,,,
Ctrl-DJI,1.91,,2.13,,2.15,,,,,,,
